"","Series 1"
"1",55.4054032510644
"2",55.812375030313
"3",56.2193608741141
"4",56.6263888413079
"5",57.0335013637453
"6",57.4407589642876
"7",57.8482400387168
"8",58.2560371259979
"9",58.6642489203209
"10",59.0729739722604
"11",59.4823102745101
"12",59.8923583569331
"13",60.3032209211585
"14",60.7150028248659
"15",61.1278135707504
"16",61.5417727996821
"17",61.957015392912
"18",62.373683255549
"19",62.7919178931578
"20",63.2118529776482
"21",63.6336101723985
"22",64.0572987543953
"23",64.4830169853903
"24",64.9108523487685
"25",65.3408814924341
"26",65.7731652659398
"27",66.2077471910771
"28",66.6446506439722
"29",67.0838772240363
"30",67.5254019185012
"31",67.9691676416706
"32",68.4150878613075
"33",68.8630495235849
"34",69.3129068576147
"35",69.7644816151048
"36",70.2175609785581
"37",70.6718994935442
"38",71.127222694482
"39",71.5832350839437
"40",72.0396271386171
"41",72.4960911953768
"42",72.9523341003904
"43",73.4080864222104
"44",73.8631073042138
"45",74.3171854518766
"46",74.7701365627238
"47",75.2218040175261
"48",75.6720531666731
"49",76.120761687324
"50",76.5678182013489
"51",77.0131265306997
"52",77.4566043896756
"53",77.8981904933499
"54",78.3378470483321
"55",78.7755541325296
"56",79.2113026772909
"57",79.6450890003655
"58",80.0769038458368
"59",80.5067290945252
"60",80.9345391731274
"61",81.3603000309519
"62",81.7839746846202
"63",82.2055306367074
"64",82.6249401015545
"65",83.0421796344071
"66",83.4572323411377
"67",83.8700835511315
"68",84.2807154571156
"69",84.6891030167329
"70",85.0952115168257
"71",85.4989924575218
"72",85.9003841326192
"73",86.2993137110261
"74",86.6957006886622
"75",87.0894617734879
"76",87.4805139765529
"77",87.8687752294602
"78",88.2541714031415
"79",88.6366381027647
"80",89.0161125035156
"81",89.3925305436879
"82",89.7658286030986
"83",90.1359478191944
"84",90.5028327127545
"85",90.8664333365725
"86",91.2267013113107
"87",91.5835903393916
"88",91.9370605161896
"89",92.2870930445793
"90",92.63368441704
"91",92.9768373080896
"92",93.3165581856296
"93",93.6528569926527
"94",93.9857477875548
"95",94.3152602333107
"96",94.6414365420704
"97",94.9643303088263
"98",95.2839995260428
"99",95.6005081723921
"100",95.9139226459119
"101",96.2243150237206
"102",96.5317592507407
"103",96.8363220493138
"104",97.1380558425198
"105",97.4369924574273
"106",97.7331436292673
"107",98.0265023696168
"108",98.3170483768577
"109",98.6047514478194
"110",98.8895715507234
"111",99.1714691353319
"112",99.4504001100492
"113",99.7263250750473
"114",99.9992114734734
"115",100.269024216532
"116",100.535720268136
"117",100.799251839568
"118",101.059569983963
"119",101.316622745468
"120",101.570355078569
"121",101.820711340126
"122",102.067634373595
"123",102.311067005193
"124",102.550953427775
"125",102.787241026778
"126",103.019891470461
"127",103.248880702155
"128",103.474200523052
"129",103.695854405478
"130",103.913856106535
"131",104.128229163135
"132",104.339002078445
"133",104.546207032452
"134",104.749881780557
"135",104.95006937561
"136",105.14682266857
"137",105.340207959783
"138",105.530308624195
"139",105.717225023847
"140",105.901077161099
"141",106.082000918273
"142",106.2601424589
"143",106.43565409201
"144",106.60868824924
"145",106.779393885663
"146",106.947917374014
"147",107.114405209402
"148",107.27900657535
"149",107.44187796637
"150",107.603191710035
"151",107.763128791561
"152",107.921874914104
"153",108.079613170294
"154",108.236523399883
"155",108.392775199846
"156",108.54852286312
"157",108.70389857483
"158",108.859015045743
"159",109.013964934052
"160",109.168822549229
"161",109.323647460424
