"","Items","items","a","b","pval","Prank"
"1","Pan y cereales (ND)","Pyc(",3.3956399893096,0.241050229394891,6.64701497930341e-66,"***"
"2","Carne (ND)","Crn(ND)",3.65517518260271,0.191284197737569,9.2818740309126e-74,"***"
"3","Pescado (ND)","P(ND",3.52285149040383,0.218992435406946,4.08205752961295e-58,"***"
"4","Leche, queso y huevos (ND)","Lqyh(",3.80051391050089,0.158293716558445,9.3083145465484e-67,"***"
"5","Aceites y grasas (ND)","Ayg(",3.42971503192708,0.240936773348953,3.99832615928467e-57,"***"
"6","Frutas (ND)","F(ND",3.67829945343427,0.189351841967716,4.34326373046378e-64,"***"
"7","Legumbres-Hortalizas (ND)","L-H(",3.75534864742274,0.184362737132022,1.14933346820146e-54,"***"
"8","Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)","Ammcydda(",3.57292758664631,0.210582303296708,1.31259148740532e-59,"***"
"9","Productos alimenticios n.e.p. (ND)","Pan(",3.60300513759371,0.208779440124623,1.79528151737828e-59,"***"
"10","Bebidas no alcohólicas","Bbna",3.55046578108988,0.216382140789981,2.42870621725951e-52,"***"
"11","Café, té y cacao (ND)","Ctyc(",3.14914469448821,0.294334025422239,1.38076018690337e-64,"***"
"12","Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)","Amrjdfydl(",3.63232105046522,0.198624699317382,3.44454570134894e-46,"***"
"13","Bebidas alcohólicas, tabaco y estupefacientes","Batye",2.85418418671555,0.355305363194853,1.57013255641433e-51,"***"
"14","Bebidas alcohólicas","Bbda",3.00555336523177,0.311733328132064,1.278175896679e-46,"***"
"15","Bebidas destiladas (ND)","Bd(N",2.67423459497387,0.372306056408477,3.09754958279138e-44,"***"
"16","Cerveza (ND)","Crv(ND)",3.67248652366285,0.186891940174929,1.27644364420284e-42,"***"
"17","Tabaco","Tabc",2.6398955346121,0.422848161616087,6.00871778586166e-51,"***"
"18","Tabaco (ND)","T(ND",2.6398955346121,0.422848161616087,6.00871778586166e-51,"***"
"19","Prendas de vestir y calzado","Pdvyc",3.99883840755562,0.10793816226182,6.54000896027179e-47,"***"
"20","Prendas de vestir","Prdv",3.98768187295791,0.110764600635462,9.14729870265196e-49,"***"
"21","Materiales para prendas de vestir (SD)","Mppdv(",3.98700305675952,0.115002813986409,2.75809676717042e-46,"***"
"22","Prendas de vestir (SD)","Pdv(",3.99599917632439,0.108833011290473,1.38384240229371e-47,"***"
"23","Otros artículos y accesorios de vestir (SD)","Oayadv(",4.33067733312295,0.0454223860577689,4.67381522068265e-30,"***"
"24","Limpieza, reparación y alquiler de prendas de vestir (S)","Lryadpdv(",3.70621374901824,0.174208144357873,2.57983612649898e-51,"***"
"25","Calzado","Clzd",4.02555985295069,0.101310728146165,1.60599459334086e-39,"***"
"26","Zapatos y otros calzados (SD)","Zyoc(",4.03351581241155,0.099607419797094,3.26654909537739e-38,"***"
"27","Reparación y alquiler de calzado (S)","Ryadc(",3.69814534877623,0.171467575373589,8.44001063778386e-50,"***"
"28","Alojamiento, agua, electricidad, gas y otros combustibles","Aaegyoc",4.10015458014278,0.110085161955427,2.21909123027952e-56,"***"
"29","Alquileres efectivos del alojamiento","Aeda",3.97554657103628,0.138773774829506,4.50885150138792e-77,"***"
"30","Alquileres efectivos pagados por los inquilinos (S)","Aeppli(",3.97554657103628,0.138773774829506,4.50885150138792e-77,"***"
"31","Conservación y reparación de la vivienda","Cyrdlv",3.78426779051614,0.166826051427504,2.44792173165232e-68,"***"
"32","Materiales para la conservación y la reparación de la vivienda (ND)","Mplcylrdlv(",3.82166014202926,0.151194522055227,2.37661787076259e-70,"***"
"33","Suministro de agua y servicios diversos relacionados con la vivienda","Sdaysdrclv",3.94108351732362,0.143671157796028,4.88739756793464e-52,"***"
"34","Suministro de agua (ND)","Sda(N",3.9415081834767,0.144998998784147,4.4299170860769e-51,"***"
"35","Electricidad, gas y otros combustibles","Egyoc",4.41134858881326,0.0417485799624021,4.55109380557489e-14,"***"
"36","Electricidad (ND)","E(ND",4.4238417524834,0.0408814719091412,1.88818009282133e-11,"***"
"37","Gas (ND)","G(ND",4.33253536628394,0.0477491956415361,2.44528958069656e-58,"***"
"38","Muebles, artículos para el hogar y para la conservación ordinaria del hogar","Mapehyplcodh",3.84654129481622,0.155088284841875,8.77552058679479e-67,"***"
"39","Muebles y accesorios, alfombras y otros materiales para pisos","Myaayompp",4.09137757903863,0.108549723947772,2.13590723842436e-87,"***"
"40","Muebles y accesorios (D)","Mya(",4.09675982896712,0.10710204328536,2.01501986892448e-86,"***"
"41","Productos textiles para el hogar","Ptpeh",3.8841981229016,0.134598125106342,6.44481857162421e-59,"***"
"42","Productos textiles para el hogar (SD)","Ptpeh(",3.8841981229016,0.134598125106342,6.44481857162421e-59,"***"
"43","Artefactos para el hogar","Apeh",4.03895680877885,0.113071135096198,1.11712272851489e-48,"***"
"44","Artefactos para el hogar grandes, eléctricos o no (D)","Apehgeon(",4.0322731098964,0.11327539000563,1.28597192002269e-47,"***"
"45","Artefactos eléctricos para el hogar pequeños (SD)","Aepehp(",4.09297720787248,0.100254238539234,1.18296737673702e-43,"***"
"46","Artículos de vidrio y cristal, vajilla y utensilios para el hogar","Advycvyupeh",3.76347552221547,0.167678281758543,8.36652729465894e-68,"***"
"47","Artículos de vidrio y cristal, vajilla y utensilios para el hogar (SD)","Advycvyupeh(",3.76347552221547,0.167678281758543,8.36652729465894e-68,"***"
"48","Herramientas y equipo para el hogar y el jardín","Hyepehyej",2.19856147540445,0.484362627114922,1.24560468979517e-50,"***"
"49","Herramientas pequeñas y accesorios diversos (SD)","Hpyad(",2.15382238427966,0.489968309030552,2.24972914257351e-51,"***"
"50","Bienes y servicios para conservación ordinaria del hogar","Byspcodh",3.8403537032674,0.157337804813746,9.31969165756431e-63,"***"
"51","Bienes para el hogar no duraderos (ND)","Bpehnd(",3.83877364937486,0.149357169043501,7.55328197631267e-63,"***"
"52","Salud","Sald",4.01338274123422,0.118004329679551,9.73383331689772e-50,"***"
"53","Productos, artefactos y equipo médicos","Payem",4.45775767095524,0.0288881441387577,1.25044955586893e-25,"***"
"54","Productos farmacéuticos (ND)","Pf(N",4.53399471208461,0.0139457660804371,4.13438773972337e-12,"***"
"55","Otros productos médicos (ND)","Opm(",3.42957228241043,0.237114513198426,4.70356317416133e-51,"***"
"56","Artefactos y equipo terapéuticos (D)","Ayet(",4.0227397294139,0.115808639961163,3.57633113687263e-39,"***"
"57","Servicios para pacientes externos","Sppe",3.57478151936552,0.210691446746584,2.92758190792048e-57,"***"
"58","Servicios médicos (S)","Sm(S",3.47497740014533,0.232742296567282,8.30144712619574e-60,"***"
