"","Provincia","Poblacion"
"1","Azuay",712127
"2","Cañar",225184
"3","Chimborazo",458581
"4","Cotopaxi",409205
"5","El Oro",600659
"6","Esmeraldas",534092
"7","Galapagos",25124
"8","Guayas",3645483
"9","Imbabura",398244
"10","Loja",448966
"11","Los Rios",778115
"12","Manabi",1369780
"13","Morona Santiago",147940
"14","Napo",103697
"15","Orellana",136396
"16","Pastaza",83933
"17","Pichincha",2576287
"18","Santa Elena",308693
"19","Santo Domingo De Los Tsachilas",368013
"20","Sucumbios",176472
"21","Tungurahua",504583
"22","Zamora Chinchipe",91376
"23","Carchi",164524
"24","Bolivar",183641
